,Título,Resultado_central
16,"3D City modelling toward conservation and management. The digital documentation of museu do ipiranga - USP, San paulo, Brazil","O artigo apresenta a modelagem 3D da cidade para a conservação e gestão do Museu do Ipiranga, permitindo uma documentação digital detalhada do local."
19,Historical sentient – Building information model: A digital twin for the management of museum collections in historical architectures,"O artigo propõe a utilização de um modelo de informação de construção (BIM) como um ""gêmeo digital"" para a gestão de coleções de museus em arquiteturas históricas, permitindo uma melhor preservação e documentação das peças."
25,Potential of hbim to improve the efficiency of visitor flow management in heritage sites. Towards smart heritage management,"O uso do HBIM pode melhorar a eficiência na gestão do fluxo de visitantes em locais de patrimônio, contribuindo para uma gestão inteligente do patrimônio."
28,"Interdisciplinary Relationships, Influence, and Aspirations for Smart Heritage in Local Government","O artigo destaca a importância das relações interdisciplinares na gestão do patrimônio cultural, influenciando positivamente nas aspirações de implementação de práticas inteligentes de preservação do patrimônio pelas autoridades locais."
39,Potential of Hbim to Improve the Efficiency of Visitor Flow Management in Heritage Sites. Towards Smart Heritage Management,"O uso do modelo de informação de edifícios históricos (Hbim) pode melhorar a eficiência na gestão do fluxo de visitantes em locais de patrimônio, contribuindo para uma gestão inteligente do patrimônio."
42,Digital Twin Application in Heritage Facilities Management: Systematic Literature Review and Future Development Directions,"O artigo destaca a importância e benefícios da aplicação de Digital Twins na gestão de instalações patrimoniais, como a melhoria da eficiência operacional e a redução de custos de manutenção."
47,Digital Twin Sensors in Cultural Heritage Ontology Applications,"O artigo apresenta a aplicação de sensores de gêmeos digitais na preservação e monitoramento de patrimônios culturais, permitindo uma gestão mais eficiente e precisa desses locais."
54,A Cloud Computing Platform to Support Digital Heritage Application Using a Service-Oriented Approach,"O artigo apresenta uma plataforma de computação em nuvem que suporta aplicações de patrimônio digital usando uma abordagem orientada a serviços, facilitando o acesso e a gestão de recursos digitais."
57,Vrea Project - A Digital Curator for Architecture and Digital Perspectives for Heritage Management and Enhancement,"O principal resultado do artigo é a criação do Vrea Project, um curador digital para arquitetura que visa melhorar a gestão e valorização do patrimônio histórico."
66,Intangible Cultural Heritage Management and Protection Based on Spatial Information Technology Under the Background of Internet of Things,O artigo destaca a importância da tecnologia de informação espacial e da Internet das Coisas para a gestão e proteção do patrimônio cultural imaterial.
