Temática,Study_ID,Título,Timestamp
governança,16,3D City modelling toward conservation and management…,2025-06-05T10:15:00
sustentabilidade,38,The Socio-Technical System Framework for Maintenance of Cultural Heritage…,2025-06-05T10:17:30
memória,0,Digital Protection and Reproduction Algorithm …,2025-06-05T10:20:45
tecnologia,1,Research on the Application of Intelligent Virtual …,2025-06-05T10:22:10
educação,0,Location-Based Augmented Reality for Cultural …,2025-06-05T10:25:00
engajamento,5,Algorithms for Visitor Engagement in Virtual Museums,2025-06-05T10:30:00
descolonialidade,12,Decolonial Narratives in Digital Heritage Platforms,2025-06-05T10:35:00
justiça territorial,20,Mapping Access to Cultural Sites via AR,2025-06-05T10:40:00
inovação,8,Prototyping Immersive Exhibits with Startup Methods,2025-06-05T10:45:00
acessibilidade,3,WCAG Compliance in Virtual Museum Interfaces,2025-06-05T10:50:00
